Autor;Tytu≥;Cena;Cena detaliczna;Zniøka;OszczÍdzasz
Jerzy Franczak;Da capo;19,42;25,90;25%;6,48
Jerzy Franczak;Nieludzka komedia;17,17;22,90;25%;5,73
Roma Ligocka;Dziewczynka w czerwonym p≥aszczyku;24,67;32,90;25%;8,23
Lucy Maud Montgomery;Ania z Zielonego WzgÛrza;13,42;17,90;25%;4,48
Tomasz StaÒko;Desperado! Autobiografia;32,92;43,90;25%;10,98
Dorota SumiÒska;Autobiografia na czterech ≥apach,  czyli historia jednej rodziny oraz psÛw, kotÛw,  koni, jeøy, øÛ≥wi, wÍøy...i ich krewnych;22,42;29,90;25%;7,48
Dorota SumiÒska;åwiat wed≥ug psa. OpowieúÊ jamnika Bolka;18,67;24,90;25%;6,23
Janusz Leon Wiúniewski;Czy mÍøczyüni sπ úwiatu potrzebni?;14,92;19,90;25%;4,98
Janusz Leon Wiúniewski;Zbliøenia;14,92;19,90;25%;4,98
Janusz Wiúniewski;Sceny z øycia za úcianπ;14,92;19,90;25%;4,98
Ignacy Karpowicz;Balladyny i romanse;17,17;22,90;25%;5,73
Dorota SumiÒska;Zwierz w ≥Ûøku;22,42;29,90;25%;7,48
Cormac McCarthy;Droga;18,67;24,90;25%;6,23
Cormac McCarthy;DzieciÍ boøe;18,67;24,90;25%;6,23
Cormac McCarthy;Krwawy po≥udnik.  albo wieczorna ≥una na zachodzie;18,67;24,90;25%;6,23
Cormac McCarthy;Straønik sadu;18,67;24,90;25%;6,23
Cormac McCarthy;W ciemnoúÊ;18,67;24,90;25%;6,23
Ignacy Karpowicz;Gesty;20,17;26,90;25%;6,73
Jacek Dukaj;Inne pieúni;28,42;37,90;25%;9,48
Jacek Dukaj;Czarne oceany;28,42;37,90;25%;9,48
Jacek Dukaj;LÛd;33,67;44,90;25%;11,23
Jacek Dukaj;Perfekcyjna niedoskona≥oúÊ;26,92;35,90;25%;8,98
Jacek Dukaj;CÛrka ≥upieøcy;18,00;24,00;25%;6,0
Jacek Dukaj;Extensa;20,17;26,90;25%;6,73
Jacek Dukaj;W kraju niewiernych;29,17;38,90;25%;9,73
Jacek Dukaj;Xavras Wyøryn  i inne fikcje narodowe;21,67;28,90;25%;7,23
Jacek Dukaj;KrÛl BÛlu;33,67;44,90;25%;11,23
Janusz Leon Wiúniewski;Ukrwienia;14,92;19,90;25%;4,98
Marta Fox;Zuzanna nie istnieje;17,17;22,90;25%;5,73
Loren Cordain;Dieta paleo. StraÊ na wadze i øyj zdrowo dziÍki diecie, do ktÛrej zostaliúmy stworzeni;18,67;24,90;25%;6,23
Katarzyna Michalak;Lato w JagÛdce;18,67;24,90;25%;6,23
Katarzyna Michalak;Rok w Poziomce;18,67;24,90;25%;6,23
Patricia Atkinson;W dojrzewajπcym s≥oÒcu. O kobiecie, ktÛra stworzy≥a winnicÍ;20,17;26,90;25%;6,73
Tim Powers;Na nieznanych wodach;21,67;28,90;25%;7,23
Edward KajdaÒski;Medycyna chiÒska dla kaødego;22,42;29,90;25%;7,48
Andrzej Pep≥oÒski;Wojna o tajemnice. W tajnej s≥uøbie Drugiej Rzeczypospolitej 1918-1944;29,92;39,90;25%;9,98
Marian Pilot;PiÛropusz;20,17;26,90;25%;6,73
Cormac McCarthy;Suttree;22,42;29,90;25%;7,48
Patricia Atkinson;Sezon na winobranie;21,67;28,90;25%;7,23
Tahir Shah;Dom Kalifa. Rok w Casablance;18,67;24,90;25%;6,23
Andrzej Leon Sowa;Historia polityczna Polski 1944-1991;37,42;49,90;25%;12,48
Katarzyna Michalak;PowrÛt do Poziomki;18,67;24,90;25%;6,23
Miko≥aj £oziÒski;Ksiπøka;18,67;24,90;25%;6,23
Marian Pilot;Panta≥yk;15,67;20,90;25%;5,23
Pierre Barret;Templariusz z Jeruzalem;21,00;28,00;25%;7,0
Douglas Hulick;Honor z≥odzieja;21,00;28,00;25%;7,0
£ukasz Orbitowski;Widma;25,42;33,90;25%;8,48
Cormac McCarthy;Rπcze konie;20,92;27,90;25%;6,98
Kazimierz Or≥oú;Dom pod Lutniπ;18,67;24,90;25%;6,23
Ewa Lipska;Droga Pani Schubert;19,50;26,00;25%;6,5
Frannie Billingsley;Zakochana w mroku;19,50;26,00;25%;6,5
Ludwika W≥odek;Pra. O rodzinie IwaszkiewiczÛw;22,42;29,90;25%;7,48
John Medina;Jak wychowaÊ szczÍúliwe dziecko;19,50;26,00;25%;6,5
Stuart Diamond;Zdobπdü wiÍcej!;22,42;29,90;25%;7,48
Gary Taubes;Dlaczego tyjemy i jak sobie z tym poradziÊ;18,67;24,90;25%;6,23
W≥odzimierz Kowalewski;Ludzie moralni;22,42;29,90;25%;7,48
Sidney D. Kirkpatrick;Hitler i úwiÍte insygnia;27,75;37,00;25%;9,25
Jerzy Stuhr;Tak sobie myúlÍ;26,17;34,90;25%;8,73
Virginia Woolf;Nawiedzony dom;27,00;36,00;25%;9,0
Anna Janko;Pasja wed≥ug úw. Hanki;19,50;26,00;25%;6,5
Olga Tokarczuk;Prowadü swÛj p≥ug przez koúci umar≥ych;18,67;24,90;25%;6,23
Olga Tokarczuk;Prawiek i inne czasy;20,17;26,90;25%;6,73
Olga Tokarczuk;Bieguni;22,42;29,90;25%;7,48
Barbara O'Neal;Jak znaleüÊ przepis na szczÍúcie;19,50;26,00;25%;6,5
Olga Tokarczuk;Dom dzienny, dom nocny;21,00;28,00;25%;7,0
Olga Tokarczuk;Gra na wielu bÍbenkach;21,00;28,00;25%;7,0
Olga Tokarczuk;Ostatnie historie;18,76;25,01;24%;6,25
Olga Tokarczuk;E.E;18,00;24,00;25%;6,0
Ellen Sussman;Lekcje francuskiego;16,50;22,00;25%;5,5
Janusz Anderman;£aÒcuch czystych serc;19,50;26,00;25%;6,5
George Friedman;NastÍpna dekada;22,42;29,90;25%;7,48
Sean Parnell;Pluton wyrzutkÛw;22,42;29,90;25%;7,48
Emmanuel Carrere;Limonow;22,42;29,90;25%;7,48
Cormac McCarthy;Przeprawa;22,42;29,90;25%;7,48
Ian Stewart;Gabinet matematycznych zagadek czÍúÊ II;22,42;29,90;25%;7,48
Paolo Bacigalupi;Zatopione miasta;22,42;29,90;25%;7,48
Tomasz Grzywaczewski;Przez dziki WschÛd;22,42;29,90;25%;7,48
Roma Ligocka;Dobre dziecko;18,00;24,00;25%;6,0
Katarzyna Michalak;Wiúniowy dworek;18,00;24,00;25%;6,0
Jan Sztaudynger;RÛøowe piÛrka;19,50;26,00;25%;6,5
